trip_id,arrival_time,departure_time,stop_id,stop_sequence
R004-0-SU,06:05:45,06:05:45,S00059,4
R004-0-SU,06:07:40,06:07:40,S00060,5
R004-0-SU,06:09:35,06:09:35,S00061,6
R004-0-SU,06:11:30,06:11:30,S00062,7
R004-0-SU,06:13:25,06:13:25,S00063,8
R004-0-SU,06:16:55,06:16:55,S00064,9
R004-0-SU,06:18:50,06:18:50,S00065,10
R004-0-SU,06:20:45,06:20:45,S00066,11
R004-0-SU,06:22:40,06:22:40,S00067,12
R004-0-SU,06:24:35,06:24:35,S00068,13
R004-0-SU,06:26:30,06:26:30,S00069,14
R004-0-SU,06:28:25,06:28:25,S00070,15
R004-0-SU,06:30:20,06:30:20,S00071,16
R004-0-SU,06:32:15,06:32:15,S00072,17
R004-0-SU,06:34:10,06:34:10,S00073,18
R004-1-SU,06:00:00,06:00:00,S00073,1
R004-1-SU,06:01:55,06:01:55,S00072,2
R004-1-SU,06:03:50,06:03:50,S00071,3
R004-1-SU,06:05:45,06:05:45,S00070,4
R004-1-SU,06:07:40,06:07:40,S00069,5
R004-1-SU,06:09:35,06:09:35,S00068,6
R004-1-SU,06:11:30,06:11:30,S00067,7
R004-1-SU,06:13:25,06:13:25,S00066,8
R004-1-SU,06:15:20,06:15:20,S00065,9
R004-1-SU,06:17:15,06:17:15,S00064,10
R004-1-SU,06:20:45,06:20:45,S00063,11
R004-1-SU,06:22:40,06:22:40,S00062,12
R004-1-SU,06:24:35,06:24:35,S00061,13
R004-1-SU,06:26:30,06:26:30,S00060,14
R004-1-SU,06:28:25,06:28:25,S00059,15
R004-1-SU,06:30:20,06:30:20,S00058,16
R004-1-SU,06:32:15,06:32:15,S00057,17
R004-1-SU,06:34:10,06:34:10,S00056,18
R005-0-WD-001,05:10:00,05:10:00,S00074,1
R005-0-WD-001,05:13:01,05:13:01,S00075,2
R005-0-WD-001,05:16:02,05:16:02,S00076,3
R005-0-WD-001,05:19:03,05:19:03,S00077,4
R005-0-WD-001,05:22:04,05:22:04,S00078,5
R005-0-WD-001,05:25:05,05:25:05,S00079,6
R005-0-WD-001,05:28:06,05:28:06,S00080,7
R005-0-WD-001,05:31:07,05:31:07,S00081,8
R005-0-WD-001,05:34:08,05:34:08,S00082,9
R005-0-WD-001,05:36:45,05:36:45,S00083,10
R005-0-WD-002,05:40:00,05:40:00,S00074,1
R005-0-WD-002,05:43:01,05:43:01,S00075,2
R005-0-WD-002,05:46:02,05:46:02,S00076,3
R005-0-WD-002,05:49:03,05:49:03,S00077,4
R005-0-WD-002,05:52:04,05:52:04,S00078,5
R005-0-WD-002,05:55:05,05:55:05,S00079,6
R005-0-WD-002,05:58:06,05:58:06,S00080,7
R005-0-WD-002,06:01:07,06:01:07,S00081,8
R005-0-WD-002,06:04:08,06:04:08,S00082,9
R005-0-WD-002,06:06:45,06:06:45,S00083,10
R005-0-WD-003,06:10:00,06:10:00,S00074,1
R005-0-WD-003,06:13:01,06:13:01,S00075,2
R005-0-WD-003,06:16:02,06:16:02,S00076,3
R005-0-WD-003,06:19:03,06:19:03,S00077,4
R005-0-WD-003,06:22:04,06:22:04,S00078,5
R005-0-WD-003,06:25:05,06:25:05,S00079,6
R005-0-WD-003,06:28:06,06:28:06,S00080,7
R005-0-WD-003,06:31:07,06:31:07,S00081,8
R005-0-WD-003,06:34:08,06:34:08,S00082,9
R005-0-WD-003,06:36:45,06:36:45,S00083,10
R005-0-WD-004,06:25:00,06:25:00,S00074,1
R005-0-WD-004,06:28:01,06:28:01,S00075,2
R005-0-WD-004,06:31:02,06:31:02,S00076,3
R005-0-WD-004,06:34:03,06:34:03,S00077,4
R005-0-WD-004,06:37:04,06:37:04,S00078,5
R005-0-WD-004,06:40:05,06:40:05,S00079,6
R005-0-WD-004,06:43:06,06:43:06,S00080,7
R005-0-WD-004,06:46:07,06:46:07,S00081,8
R005-0-WD-004,06:49:08,06:49:08,S00082,9
R005-0-WD-004,06:51:45,06:51:45,S00083,10
R005-0-WD-005,06:40:00,06:40:00,S00074,1
R005-0-WD-005,06:43:01,06:43:01,S00075,2
R005-0-WD-005,06:46:02,06:46:02,S00076,3
R005-0-WD-005,06:49:03,06:49:03,S00077,4
R005-0-WD-005,06:52:04,06:52:04,S00078,5
R005-0-WD-005,06:55:05,06:55:05,S00079,6
R005-0-WD-005,06:58:06,06:58:06,S00080,7
R005-0-WD-005,07:01:07,07:01:07,S00081,8
R005-0-WD-005,07:04:08,07:04:08,S00082,9
R005-0-WD-005,07:06:45,07:06:45,S00083,10
R005-0-WD-006,06:55:00,06:55:00,S00074,1
R005-0-WD-006,06:58:01,06:58:01,S00075,2
R005-0-WD-006,07:01:02,07:01:02,S00076,3
R005-0-WD-006,07:04:03,07:04:03,S00077,4
R005-0-WD-006,07:07:04,07:07:04,S00078,5
R005-0-WD-006,07:10:05,07:10:05,S00079,6
R005-0-WD-006,07:13:06,07:13:06,S00080,7
R005-0-WD-006,07:16:07,07:16:07,S00081,8
R005-0-WD-006,07:19:08,07:19:08,S00082,9
R005-0-WD-006,07:21:45,07:21:45,S00083,10
R005-0-WD-007,07:10:00,07:10:00,S00074,1
R005-0-WD-007,07:13:01,07:13:01,S00075,2
R005-0-WD-007,07:16:02,07:16:02,S00076,3
R005-0-WD-007,07:19:03,07:19:03,S00077,4
R005-0-WD-007,07:22:04,07:22:04,S00078,5
R005-0-WD-007,07:25:05,07:25:05,S00079,6
R005-0-WD-007,07:28:06,07:28:06,S00080,7
R005-0-WD-007,07:31:07,07:31:07,S00081,8
R005-0-WD-007,07:34:08,07:34:08,S00082,9
R005-0-WD-007,07:36:45,07:36:45,S00083,10
R005-0-WD-008,07:25:00,07:25:00,S00074,1
R005-0-WD-008,07:28:01,07:28:01,S00075,2
R005-0-WD-008,07:31:02,07:31:02,S00076,3
R005-0-WD-008,07:34:03,07:34:03,S00077,4
R005-0-WD-008,07:37:04,07:37:04,S00078,5
R005-0-WD-008,07:40:05,07:40:05,S00079,6
R005-0-WD-008,07:43:06,07:43:06,S00080,7
R005-0-WD-008,07:46:07,07:46:07,S00081,8
R005-0-WD-008,07:49:08,07:49:08,S00082,9
R005-0-WD-008,07:51:45,07:51:45,S00083,10
R005-0-WD-009,07:40:00,07:40:00,S00074,1
R005-0-WD-009,07:43:01,07:43:01,S00075,2
R005-0-WD-009,07:46:02,07:46:02,S00076,3
R005-0-WD-009,07:49:03,07:49:03,S00077,4
R005-0-WD-009,07:52:04,07:52:04,S00078,5
R005-0-WD-009,07:55:05,07:55:05,S00079,6
R005-0-WD-009,07:58:06,07:58:06,S00080,7
R005-0-WD-009,08:01:07,08:01:07,S00081,8
R005-0-WD-009,08:04:08,08:04:08,S00082,9
R005-0-WD-009,08:06:45,08:06:45,S00083,10
R005-0-WD-010,07:55:00,07:55:00,S00074,1
