stop_id,stop_name,stop_lat,stop_lon,zone_id
S00038,Juniper Road,49.049299,12.409166,Lakeside
S00039,Lakeside School,49.044626,12.420078,Lakeside
S00040,Sycamore Walk,49.039958,12.430994,Lakeside
S00041,Kestrel Park Observatory,49.035253,12.441872,Kestrel Park
S00042,Ivy Road,49.03048,12.45268,Kestrel Park
S00043,Pine Close,49.025589,12.463362,Kestrel Park
S00044,Westbridge Priory,49.020565,12.473901,Westbridge
S00045,Rowan Terrace,49.015458,12.484344,Oldtown
S00046,Oak Lane,49.010299,12.494727,Oldtown
S00047,Oldtown Crossing,49.005124,12.50509,Oldtown
S00048,Marsh End Court,48.994704,12.525731,Marsh End
S00049,Marsh End Green,48.989446,12.535993,Marsh End
S00050,Brickworks School,48.984212,12.546283,Brickworks
S00051,Brickworks Depot,48.979047,12.556654,Brickworks
S00052,Rowan Walk,48.973985,12.567139,Brickworks
S00053,Rowan Street,48.968982,12.577689,Brickworks
S00054,Brickworks Barracks,48.964012,12.588274,Brickworks
S00055,Junction Row,48.959056,12.598873,Junction
S00056,Pine Avenue,49.059593,12.575145,Northgate
S00057,Northgate Quay,49.052856,12.567127,Northgate
S00058,Harborside Row,49.046118,12.559112,Harborside
S00059,Harborside Observatory,49.039385,12.551089,Harborside
S00060,Harborside Arcade,49.03266,12.543051,Harborside
S00061,Oak Road,49.025951,12.534984,Harborside
S00062,Birch Crescent,49.019267,12.52687,Marsh End
S00063,Oldtown Yard,49.012597,12.518729,Oldtown
S00064,Poplar Way,48.99924,12.502484,Oldtown
S00065,Oldtown Works,48.992532,12.494418,Oldtown
S00066,Sycamore Lane,48.985819,12.486366,Elmwood
S00067,Foundry Court,48.97909,12.478344,Foundry
S00068,Foundry Chapel,48.972337,12.470372,Foundry
S00069,Foundry Junction,48.965547,12.462473,Foundry
S00070,Foundry Row,48.958713,12.454664,Foundry
S00071,Hillcrest Stadium,48.951851,12.446913,Hillcrest
S00072,Hillcrest School,48.944974,12.439194,Hillcrest
S00073,Riverside Barracks,48.938092,12.431486,Riverside
S00074,Larch Walk,49.050877,12.641952,Harborside
S00075,Harborside Fountain,49.039608,12.610695,Harborside
S00076,Linden Way,49.02837,12.579419,Harborside
S00077,Beech Lane,49.017234,12.548066,Marsh End
S00078,Hazel Street,49.006162,12.516667,Oldtown
S00079,Hazel Close,48.99506,12.4853,Elmwood
S00080,Foundry Rise,48.983938,12.453956,Foundry
S00081,Hillcrest Fountain,48.972706,12.42271,Hillcrest
S00082,Fir Walk,48.961347,12.391578,Hillcrest
S00083,Hillcrest Park,48.95171,12.365266,Hillcrest
S00084,Greenfield Museum,49.093129,12.422451,Greenfield
S00085,Elm Lane,49.072786,12.440054,Greenfield
S00086,Hazel Crescent,49.052412,12.457563,Kestrel Park
S00087,Fir Street,49.03194,12.474797,Kestrel Park
S00088,Brickworks Steps,48.970197,12.525543,Brickworks
S00089,Fairmount Locks,48.949593,12.54238,Fairmount
S00090,Juniper Crescent,48.929016,12.559286,Fairmount
S00091,Hazel Way,48.911606,12.573606,Fairmount
S00092,Hillcrest Museum,48.949123,12.358048,Hillcrest
S00093,Cedar Walk,49.04829,12.634734,Harborside
S00094,Holly Close,48.906871,12.577549,Fairmount
S00095,Poplar Terrace,48.988699,12.508578,Oldtown
S00096,Larch Road,49.088394,12.426394,Greenfield
S00097,Vinegrove Locks,48.936883,12.529952,Vinegrove
S00098,Vinegrove Exchange,48.941013,12.530299,Vinegrove
S00099,Vinegrove Arcade,48.945143,12.530669,Vinegrove
S00100,Willow Terrace,48.949273,12.531035,Vinegrove
S00101,Oak Street,48.953403,12.531383,Vinegrove
S00102,Poplar Road,48.957535,12.531707,Vinegrove
S00103,Pine Crescent,48.965801,12.532228,Brickworks
S00104,Brickworks Hollow,48.969937,12.532371,Brickworks
S00105,Brickworks Library,48.974074,12.532408,Brickworks
S00106,Pine Terrace,48.978211,12.532376,Brickworks
S00107,Linden Crescent,48.982347,12.532248,Brickworks
S00108,Marsh End Market,48.990608,12.531585,Marsh End
S00109,Marsh End Exchange,48.994728,12.531016,Marsh End
S00110,Marsh End Locks,48.998836,12.530279,Marsh End
S00111,Marsh End Granary,49.002927,12.529342,Marsh End
S00112,Marsh End Row,49.006999,12.52823,Marsh End
S00113,Birch Avenue,49.011055,12.52699,Marsh End
S00114,Holly Crescent,49.015101,12.525678,Marsh End
S00115,Harborside Green,49.02319,12.52302,Harborside
S00116,Oak Close,49.027232,12.521682,Harborside
S00117,Northgate Hospital,49.03127,12.520309,Northgate
S00118,Northgate Granary,49.035304,12.518912,Northgate
S00119,Northgate Common,49.039336,12.5175,Northgate
S00120,Northgate Museum,49.043367,12.516078,Northgate
S00121,Northgate Junction,49.047396,12.514649,Northgate
S00122,Steelyard Arcade,49.051425,12.513217,Steelyard
S00123,Steelyard Yard,49.055455,12.511789,Steelyard
S00124,Birch Terrace,48.987214,12.439921,Foundry
S00125,Larch Close,48.986423,12.446109,Foundry
S00126,Yew Close,48.985657,12.452304,Foundry
S00127,Yew Crescent,48.984829,12.45848,Foundry
S00128,Foundry Hollow,48.983889,12.464618,Foundry
S00129,Alder Road,48.982757,12.470679,Foundry
S00130,Foundry Fields,48.98132,12.476588,Foundry
S00131,Maple Street,48.979627,12.482338,Elmwood
S00132,Ash Lane,48.977766,12.487966,Elmwood
S00133,Ash Avenue,48.975806,12.493516,Elmwood
S00134,Elmwood Quay,48.973819,12.499044,Elmwood
S00135,Elmwood Locks,48.971851,12.504588,Elmwood
S00136,Vinegrove Rise,48.969776,12.510039,Vinegrove
S00137,Poplar Crescent,48.967631,12.515428,Vinegrove
S00138,Vinegrove Hollow,48.965515,12.520843,Vinegrove
S00139,Vinegrove School,48.963549,12.526385,Vinegrove
S00140,Brickworks Bridge,48.960575,12.53813,Brickworks
S00141,Brickworks Exchange,48.959422,12.54418,Brickworks
S00142,Brickworks Works,48.958343,12.550263,Brickworks
S00143,Cedar Road,48.986695,12.423211,Hillcrest
S00144,Hillcrest Common,48.98944,12.427926,Hillcrest
S00145,Oak Avenue,48.992188,12.432639,Westbridge
S00146,Maple Way,48.994926,12.437365,Westbridge
S00147,Poplar Lane,48.997645,12.442117,Westbridge
S00148,Holly Road,49.002944,12.451801,Westbridge
S00149,Westbridge Hollow,49.005513,12.456745,Westbridge
S00150,Westbridge Museum,49.008068,12.461704,Westbridge
S00151,Westbridge Park,49.010647,12.466636,Westbridge
S00152,Westbridge Row,49.013269,12.471514,Westbridge
S00153,Walnut Avenue,49.015895,12.476387,Westbridge
S00154,Sycamore Way,49.018548,12.481227,Westbridge
S00155,Kestrel Park Exchange,49.021259,12.485993,Kestrel Park
S00156,Kestrel Park Park,49.024056,12.49064,Kestrel Park
S00157,Ivy Terrace,49.029898,12.499574,Kestrel Park
S00158,Kestrel Park Works,49.032876,12.503954,Kestrel Park
S00159,Northgate Tower,49.035862,12.508321,Northgate
S00160,Southgate Steps,49.009421,12.403426,Southgate
S00161,Southgate Fountain,49.008828,12.409667,Southgate
S00162,Beech Street,49.008201,12.415901,Southgate
S00163,Southgate Circus,49.007643,12.42215,Southgate
S00164,Beech Terrace,49.007207,12.428421,Westbridge
S00165,Westbridge Fields,49.006974,12.434716,Westbridge
S00166,Westbridge Yard,49.007055,12.441019,Westbridge
S00167,Westbridge Hospital,49.007459,12.447295,Westbridge
S00168,Westbridge Chapel,49.008077,12.45353,Westbridge
S00169,Westbridge Steps,49.010298,12.472145,Westbridge
S00170,Hazel Walk,49.010927,12.478378,Westbridge
S00171,Oldtown Library,49.011581,12.484606,Oldtown
S00172,Alder Avenue,49.012281,12.490822,Oldtown
S00173,Juniper Terrace,49.012967,12.497042,Oldtown
S00174,Oldtown Hollow,49.013586,12.503278,Oldtown
S00175,Rowan Lane,49.014091,12.509538,Oldtown
S00176,Oldtown Green,49.014434,12.515823,Oldtown
S00177,Marsh End Fountain,49.014548,12.522127,Marsh End
S00178,Marsh End Wharf,49.014452,12.528432,Marsh End
S00179,Marsh End Terminal,49.014201,12.534727,Marsh End
S00180,Marsh End Baths,49.013863,12.541013,Marsh End
S00181,Alder Crescent,49.013457,12.54729,Marsh End
S00182,Beech Avenue,49.013012,12.553561,Marsh End
S00183,Maple Walk,49.012547,12.559828,Marsh End
S00184,Marsh End Works,49.012117,12.566101,Marsh End
S00185,Vinegrove Gate,48.955821,12.51646,Vinegrove
S00186,Yew Way,48.962693,12.509441,Vinegrove
S00187,Yew Lane,48.966148,12.505975,Vinegrove
S00188,Elmwood Fields,48.969646,12.502612,Elmwood
S00189,Hazel Terrace,48.976864,12.496459,Elmwood
S00190,Elmwood Rise,48.980586,12.493711,Elmwood
S00191,Elmwood Mill,48.984353,12.491106,Elmwood
S00192,Elmwood Cemetery,48.988153,12.488614,Elmwood
S00193,Elmwood Baths,48.991978,12.486213,Elmwood
S00194,Oldtown Row,48.999685,12.481626,Oldtown
S00195,Oldtown Gate,49.00357,12.47946,Oldtown
S00196,Westbridge Junction,49.007485,12.477421,Westbridge
S00197,Westbridge Arcade,49.011419,12.475475,Westbridge
S00198,Westbridge Bridge,49.015367,12.473586,Westbridge
S00199,Sycamore Crescent,49.019318,12.471721,Westbridge
S00200,Kestrel Park Green,49.023267,12.469837,Kestrel Park
S00201,Kestrel Park Yard,49.027206,12.467912,Kestrel Park
S00202,Linden Close,49.031147,12.465995,Kestrel Park
S00203,Kestrel Park Common,49.035091,12.464088,Kestrel Park
S00204,Kestrel Park Library,49.039036,12.462188,Kestrel Park
S00205,Kestrel Park Rise,49.042981,12.460289,Kestrel Park
S00206,Willow Lane,48.967654,12.535189,Brickworks
S00207,Brickworks Museum,48.97351,12.526284,Brickworks
S00208,Ivy Street,48.976425,12.521813,Brickworks
S00209,Fir Avenue,48.979306,12.51729,Elmwood
S00210,Elmwood Court,48.982132,12.512687,Elmwood
S00211,Ivy Way,48.987466,12.503053,Elmwood
S00212,Elmwood Crossing,48.989975,12.498041,Elmwood
S00213,Oldtown Common,48.9972,12.482663,Oldtown
S00214,Linden Avenue,48.999583,12.477509,Oldtown
S00215,Westbridge Cemetery,49.004205,12.467048,Westbridge
S00216,Westbridge Rise,49.008847,12.456609,Westbridge
S00217,Westbridge Market,49.011256,12.451482,Westbridge
S00218,Ash Way,49.013747,12.446446,Westbridge
S00219,Westbridge Exchange,49.01629,12.441471,Westbridge
S00220,Westbridge Gate,49.018864,12.436533,Westbridge
S00221,Birch Lane,49.021457,12.431618,Westbridge
S00222,Lakeside Mill,49.024062,12.426717,Lakeside
S00223,Lakeside Works,49.02667,12.42182,Lakeside
S00224,Lakeside Priory,49.028353,12.418636,Lakeside
S00225,Walnut Street,48.982974,12.427102,Hillcrest
S00226,Hillcrest Observatory,48.983106,12.433402,Hillcrest
S00227,Alder Way,48.983209,12.439704,Hillcrest
S00228,Cedar Avenue,48.983355,12.446003,Foundry
S00229,Foundry Green,48.985138,12.471041,Foundry
S00230,Alder Street,48.986033,12.477195,Foundry
S00231,Willow Avenue,48.987031,12.483313,Elmwood
S00232,Elmwood Gate,48.98911,12.495517,Elmwood
S00233,Oldtown Court,48.990097,12.501639,Oldtown
S00234,Holly Way,48.991992,12.513912,Oldtown
S00235,Oldtown Rise,48.992974,12.520037,Oldtown
S00236,Marsh End Barracks,48.995648,12.538505,Marsh End
S00237,Maple Terrace,48.996335,12.544722,Marsh End
S00238,Marsh End Depot,48.996851,12.550977,Marsh End
S00239,Marsh End Observatory,48.997199,12.557259,Marsh End
S00240,Marsh End Stadium,48.997442,12.563554,Marsh End
S00241,Pine Walk,48.997614,12.569854,Marsh End
S00242,Marsh End Quay,48.997734,12.576156,Marsh End
S00243,Fir Terrace,48.997824,12.58246,Marsh End
S00244,Alder Walk,48.997903,12.588764,Junction
S00245,Willow Crescent,48.998,12.593984,Junction
S00246,Willow Way,48.987663,12.564544,Brickworks
S00247,Marsh End Chapel,48.990468,12.55991,Marsh End
S00248,Marsh End School,48.993273,12.555276,Marsh End
S00249,Marsh End Park,48.998898,12.546028,Marsh End
S00250,Beech Walk,49.001726,12.541426,Marsh End
S00251,Marsh End Mill,49.004566,12.53684,Marsh End
S00252,Marsh End Hollow,49.007414,12.532267,Marsh End
S00253,Oldtown Locks,49.015978,12.518572,Oldtown
S00254,Oldtown Exchange,49.018841,12.514019,Oldtown
S00255,Oldtown Circus,49.021704,12.509466,Oldtown
S00256,Oldtown Steps,49.024564,12.504907,Oldtown
S00257,Kestrel Park School,49.027415,12.500336,Kestrel Park
S00258,Kestrel Park Halt,49.03026,12.495756,Kestrel Park
S00259,Holly Street,49.033102,12.491171,Kestrel Park
S00260,Vinegrove Museum,48.955353,12.510081,Vinegrove
S00261,Vinegrove Court,48.959488,12.510284,Vinegrove
S00262,Elmwood Wharf,48.971893,12.51087,Elmwood
S00263,Elmwood Terminal,48.980165,12.511007,Elmwood
S00264,Oldtown Granary,48.996694,12.509955,Oldtown
S00265,Oldtown Junction,49.004912,12.508513,Oldtown
S00266,Oldtown School,49.021193,12.50401,Oldtown
S00267,Kestrel Park Fields,49.037405,12.498958,Kestrel Park
S00268,Pine Way,49.041453,12.497656,Kestrel Park
S00269,Kestrel Park Market,49.045501,12.496358,Kestrel Park
S00270,Lakeside Arcade,49.023741,12.411972,Lakeside
S00271,Oak Way,49.022265,12.416366,Lakeside
S00272,Hazel Lane,49.020825,12.420788,Lakeside
S00273,Hazel Road,49.019391,12.425214,Westbridge
S00274,Westbridge Depot,49.01795,12.429635,Westbridge
S00275,Westbridge Crossing,49.016493,12.434043,Westbridge
S00276,Juniper Walk,49.015014,12.438434,Westbridge
S00277,Westbridge Granary,49.013508,12.442804,Westbridge
S00278,Alder Close,49.011969,12.447146,Westbridge
S00279,Westbridge Works,49.007063,12.459923,Westbridge
S00280,Westbridge Fountain,49.005287,12.464048,Westbridge
S00281,Holly Avenue,49.001518,12.472073,Westbridge
S00282,Willow Walk,48.997548,12.479869,Oldtown
S00283,Juniper Avenue,48.995506,12.483698,Elmwood
S00284,Walnut Crescent,48.993436,12.487493,Elmwood
S00285,Elmwood Tower,48.991344,12.491258,Elmwood
S00286,Maple Close,48.987114,12.498729,Elmwood
S00287,Elmwood Barracks,48.984988,12.502449,Elmwood
S00288,Birch Street,48.982861,12.506169,Elmwood
S00289,Elmwood Market,48.978601,12.513598,Elmwood
S00290,Elmwood Library,48.976425,12.517251,Elmwood
S00291,Brickworks Quay,48.974222,12.520865,Brickworks
S00292,Brickworks Fountain,48.971999,12.524451,Brickworks
S00293,Brickworks Park,48.969763,12.528018,Brickworks
S00294,Brickworks Priory,48.967523,12.531579,Brickworks
S00295,Brickworks Granary,48.963064,12.53873,Brickworks
S00296,Linden Terrace,48.960863,12.542346,Brickworks
S00297,Ivy Avenue,48.958696,12.546009,Brickworks
S00298,Brickworks Yard,48.956576,12.549736,Brickworks
S00299,Fairmount Park,48.954516,12.553539,Fairmount
S00300,Fairmount Baths,48.952513,12.557412,Fairmount
S00301,Fairmount Row,48.950555,12.561339,Fairmount
S00302,Holly Lane,48.948633,12.565306,Fairmount
S00303,Willow Road,48.946741,12.569306,Fairmount
S00304,Fairmount Circus,48.944872,12.573331,Fairmount
S00305,Fairmount Rise,48.943019,12.577373,Fairmount
S00306,Fairmount Junction,48.941176,12.581426,Fairmount
S00307,Fairmount Tower,48.939332,12.585477,Fairmount
S00308,Fairmount Court,48.937906,12.588544,Fairmount
S00309,Greenfield Exchange,49.076103,12.470056,Greenfield
S00310,Greenfield Green,49.073241,12.467746,Greenfield
S00311,Greenfield Bridge,49.070376,12.465445,Greenfield
S00312,Alder Terrace,49.06751,12.463146,Greenfield
S00313,Greenfield Steps,49.064644,12.460847,Greenfield
S00314,Greenfield Fields,49.061779,12.458546,Greenfield
S00315,Greenfield Mill,49.058915,12.456242,Greenfield
S00316,Kestrel Park Quay,49.053192,12.45162,Kestrel Park
S00317,Kestrel Park Depot,49.050334,12.449301,Kestrel Park
S00318,Kestrel Park Barracks,49.047478,12.446971,Kestrel Park
S00319,Walnut Road,49.044627,12.444631,Kestrel Park
S00320,Kestrel Park Mill,49.041781,12.442278,Kestrel Park
S00321,Kestrel Park Circus,49.038941,12.439906,Kestrel Park
S00322,Kestrel Park Gate,49.036113,12.437503,Kestrel Park
S00323,Elm Way,49.033306,12.435042,Lakeside
S00324,Lakeside Depot,49.030523,12.432518,Lakeside
S00325,Lakeside Quay,49.027761,12.429942,Lakeside
S00326,Lakeside Hospital,49.022272,12.424704,Lakeside
S00327,Pine Lane,49.019529,12.422083,Westbridge
S00328,Westbridge Green,49.016771,12.419497,Westbridge
S00329,Southgate Arcade,49.013987,12.416977,Southgate
S00330,Walnut Close,49.011169,12.414548,Southgate
S00331,Southgate Bridge,49.00831,12.412233,Southgate
S00332,Southgate Museum,49.005419,12.410011,Southgate
S00333,Southgate Junction,49.002512,12.407837,Southgate
S00334,Southgate Priory,48.99959,12.405714,Southgate
S00335,Southgate Library,48.996647,12.403657,Southgate
S00336,Southgate Exchange,48.993679,12.401686,Southgate
S00337,Southgate Hollow,48.990681,12.399823,Southgate
S00338,Southgate Granary,48.987657,12.398064,Southgate
S00339,Southgate Tower,48.984606,12.396412,Southgate
S00340,Hillcrest Tower,48.981532,12.394867,Hillcrest
S00341,Hillcrest Fields,48.978433,12.393435,Hillcrest
S00342,Hillcrest Court,48.975311,12.392134,Hillcrest
S00343,Fir Lane,48.972169,12.390946,Hillcrest
S00344,Hillcrest Depot,48.969013,12.389844,Hillcrest
S00345,Linden Walk,48.965849,12.388801,Hillcrest
S00346,Hillcrest Row,48.962679,12.3878,Hillcrest
S00347,Hillcrest Baths,48.959504,12.386832,Hillcrest
S00348,Hillcrest Rise,48.956326,12.38589,Hillcrest
S00349,Cedar Crescent,48.953145,12.384971,Hillcrest
S00350,Hillcrest Locks,48.949962,12.384068,Hillcrest
S00351,Hillcrest Yard,48.946779,12.383173,Hillcrest
S00352,Walnut Terrace,48.943595,12.382275,Hillcrest
S00353,Birch Walk,48.940416,12.381347,Hillcrest
S00354,Southgate Court,49.020883,12.360028,Southgate
S00355,Sycamore Terrace,49.021021,12.36496,Southgate
S00356,Southgate Green,49.021185,12.369891,Southgate
S00357,Southgate Crossing,49.021356,12.374821,Southgate
S00358,Southgate Gate,49.021523,12.379751,Southgate
S00359,Fir Road,49.021684,12.384682,Southgate
S00360,Southgate Row,49.021834,12.389614,Southgate
S00361,Lakeside Bridge,49.021971,12.394547,Lakeside
S00362,Lakeside Rise,49.022086,12.399481,Lakeside
S00363,Lakeside Granary,49.02218,12.404415,Lakeside
S00364,Lakeside Stadium,49.022248,12.409351,Lakeside
S00365,Lakeside Library,49.022286,12.414288,Lakeside
S00366,Lakeside Yard,49.02228,12.419225,Lakeside
S00367,Westbridge Halt,49.022074,12.429093,Westbridge
S00368,Larch Way,49.021876,12.434021,Westbridge
S00369,Westbridge Library,49.021625,12.438943,Westbridge
S00370,Westbridge Terminal,49.021328,12.443859,Westbridge
S00371,Westbridge Barracks,49.020993,12.448769,Westbridge
S00372,Westbridge Mill,49.020626,12.453674,Westbridge
S00373,Yew Walk,49.020237,12.458575,Westbridge
S00374,Ivy Close,49.019831,12.463473,Westbridge
S00375,Pine Street,49.019419,12.46837,Westbridge
S00376,Ivy Lane,49.018602,12.478164,Westbridge
S00377,Linden Street,49.018216,12.483066,Westbridge
S00378,Oldtown Tower,49.017849,12.487971,Oldtown
S00379,Oldtown Chapel,49.017473,12.492874,Oldtown
S00380,Elm Street,49.017067,12.497772,Oldtown
S00381,Birch Close,49.016642,12.502665,Oldtown
S00382,Oldtown Observatory,49.016206,12.507557,Oldtown
S00383,Oldtown Stadium,49.01577,12.512448,Oldtown
S00384,Rowan Way,49.014232,12.532052,Marsh End
S00385,Marsh End Circus,49.013956,12.53697,Marsh End
S00386,Marsh End Yard,49.013575,12.551763,Marsh End
S00387,Marsh End Gate,49.013597,12.556699,Marsh End
S00388,Marsh End Hospital,49.013669,12.561634,Marsh End
S00389,Marsh End Tower,49.013782,12.566567,Marsh End
S00390,Harborside Rise,49.013926,12.571499,Harborside
S00391,Harborside Wharf,49.014095,12.576428,Harborside
S00392,Harborside Cemetery,49.014285,12.581356,Harborside
S00393,Harborside Priory,49.014487,12.586282,Harborside
S00394,Sycamore Close,49.014694,12.591209,Harborside
S00395,Harborside Market,49.01489,12.596136,Harborside
S00396,Harborside Crossing,49.014976,12.598874,Harborside
S00397,Riverside Park,48.9421,12.465304,Riverside
S00398,Riverside Observatory,48.943199,12.46994,Riverside
S00399,Riverside Junction,48.94437,12.474535,Riverside
S00400,Fir Crescent,48.945534,12.479135,Vinegrove
S00401,Vinegrove Steps,48.946665,12.483754,Vinegrove
S00402,Vinegrove Mill,48.947735,12.488406,Vinegrove
S00403,Ash Crescent,48.94872,12.493102,Vinegrove
S00404,Vinegrove Wharf,48.949584,12.497852,Vinegrove
S00405,Walnut Walk,48.950265,12.50267,Vinegrove
S00406,Vinegrove Circus,48.950597,12.507567,Vinegrove
S00407,Vinegrove Cemetery,48.950488,12.51249,Vinegrove
S00408,Vinegrove Priory,48.949973,12.517354,Vinegrove
S00409,Vinegrove Barracks,48.94918,12.522132,Vinegrove
S00410,Vinegrove Yard,48.948178,12.526819,Vinegrove
S00411,Vinegrove Fountain,48.947066,12.531448,Vinegrove
S00412,Vinegrove Fields,48.945939,12.536069,Vinegrove
S00413,Fairmount Halt,48.944904,12.54074,Fairmount
S00414,Fairmount Observatory,48.943738,12.545335,Fairmount
S00415,Fairmount Library,48.942329,12.549772,Fairmount
S00416,Fairmount Hospital,48.940877,12.554177,Fairmount
S00417,Fairmount Stadium,48.939726,12.558775,Fairmount
S00418,Fairmount Fountain,48.939625,12.563637,Fairmount
S00419,Fairmount Museum,48.941146,12.567938,Fairmount
S00420,Fairmount Fields,48.943369,12.571513,Fairmount
S00421,Fairmount Common,48.945839,12.574699,Fairmount
S00422,Fairmount Yard,48.94797,12.577519,Fairmount
S00423,Oldtown Mill,49.012174,12.505885,Oldtown
S00424,Rowan Avenue,49.010832,12.501394,Oldtown
S00425,Holly Walk,49.009566,12.496851,Oldtown
S00426,Oldtown Wharf,49.008389,12.492253,Oldtown
S00427,Oldtown Arcade,49.00726,12.487627,Oldtown
S00428,Sycamore Road,49.006135,12.483,Oldtown
S00429,Oldtown Bridge,49.004968,12.478396,Oldtown
S00430,Westbridge Court,49.003806,12.473789,Westbridge
S00431,Birch Way,49.00263,12.469191,Westbridge
S00432,Westbridge School,49.001392,12.464632,Westbridge
S00433,Ash Street,49.000041,12.460147,Westbridge
S00434,Cedar Terrace,48.998568,12.455753,Westbridge
S00435,Westbridge Quay,48.997034,12.451407,Westbridge
S00436,Westbridge Locks,48.99547,12.447087,Westbridge
S00437,Westbridge Stadium,48.994386,12.444075,Westbridge
S00438,Lakeside Locks,49.02759,12.379605,Lakeside
S00439,Lakeside Common,49.025877,12.383795,Lakeside
S00440,Lakeside Gate,49.024109,12.38793,Lakeside
S00441,Beech Way,49.022357,12.392082,Lakeside
S00442,Southgate Halt,49.020647,12.396274,Southgate
S00443,Southgate Hospital,49.018999,12.400523,Southgate
S00444,Southgate Stadium,49.017448,12.404856,Southgate
S00445,Southgate Common,49.016041,12.4093,Southgate
S00446,Southgate Cemetery,49.014831,12.413877,Southgate
S00447,Willow Close,49.013239,12.423436,Westbridge
S00448,Elm Walk,49.012765,12.428318,Westbridge
S00449,Linden Lane,49.012414,12.433225,Westbridge
S00450,Rowan Close,49.012149,12.438145,Westbridge
S00451,Linden Road,49.011905,12.443066,Westbridge
S00452,Birch Road,49.010945,12.457801,Westbridge
S00453,Oak Terrace,49.010672,12.462719,Westbridge
S00454,Walnut Way,49.009991,12.47749,Westbridge
S00455,Fir Way,49.0097,12.482406,Oldtown
S00456,Oldtown Cemetery,49.009331,12.487309,Oldtown
S00457,Oldtown Park,49.008261,12.497042,Oldtown
S00458,Oldtown Fields,49.007506,12.50184,Oldtown
S00459,Oldtown Hospital,49.006609,12.506582,Oldtown
S00460,Oldtown Market,49.00454,12.515934,Oldtown
S00461,Yew Street,49.003418,12.520563,Marsh End
S00462,Marsh End Priory,49.002257,12.52517,Marsh End
S00463,Marsh End Halt,49.001065,12.529759,Marsh End
S00464,Cedar Way,48.999849,12.534332,Marsh End
S00465,Marsh End Cemetery,48.998617,12.538896,Marsh End
S00466,Walnut Lane,48.997377,12.543454,Marsh End
S00467,Marsh End Steps,48.996142,12.548016,Marsh End
S00468,Pine Road,48.994942,12.552598,Marsh End
S00469,Elmwood Green,48.963198,12.486295,Elmwood
S00470,Larch Avenue,48.964,12.490848,Elmwood
S00471,Elmwood Fountain,48.966605,12.493744,Elmwood
S00472,Elmwood Common,48.969473,12.496031,Elmwood
S00473,Elmwood Museum,48.97236,12.498262,Elmwood
S00474,Elmwood Junction,48.975203,12.500619,Elmwood
S00475,Elmwood Yard,48.977947,12.503236,Elmwood
S00476,Elmwood Arcade,48.980528,12.506209,Elmwood
S00477,Elmwood Priory,48.985527,12.512479,Elmwood
S00478,Sycamore Street,48.987934,12.515778,Oldtown
S00479,Oldtown Museum,48.99021,12.519286,Oldtown
S00480,Yew Avenue,48.992287,12.523067,Marsh End
S00481,Marsh End Rise,48.994042,12.527204,Marsh End
S00482,Marsh End Library,48.995886,12.536601,Marsh End
S00483,Marsh End Bridge,48.996183,12.541513,Marsh End
S00484,Cedar Street,48.996193,12.556313,Marsh End
S00485,Beech Crescent,48.996237,12.558723,Marsh End
S00486,Poplar Walk,49.06154,12.51984,Steelyard
S00487,Steelyard Quay,49.058621,12.521975,Steelyard
S00488,Northgate Park,49.055702,12.524113,Northgate
